substituted,parent,source,mapping,Natoms,cvp-ionic Vi,no scaled Vi,vp Vi,cvp-atomic Vi,cvp-ionic Vf,no scaled Vf,vp Vf,cvp-atomic Vf,first cvp-ionic CPU time (s),first no scaled CPU time (s),first vp CPU time (s),first cvp-atomic CPU time (s),second cvp-ionic CPU time (s),second no scaled CPU time (s),second vp CPU time (s),second cvp-atomic CPU time (s),total cvp-ionic CPU time (s),total no scaled CPU time (s),total vp CPU time (s),total cvp-atomic CPU time (s),E cvp-ionic (eV/atom),E no scaled (eV/atom),E vp (eV/atom),E cvp-atomic (eV/atom)
Ag7P3O11,Ag7P3S11,mp-683910,{'S2-': 'O2-'},84,1165.232441,1247.829126,1741.075564,1196.313856,1258.115943,1261.986935,1253.004124,1260.653942,28981.592,54950.398,35191.574,33484.098,4154.112,6851.084,3978.759,4304.007,33135.704,61801.482,39170.333,37788.105,-5.472042751,-5.473219285,-5.467744863,-5.473115357
Li7P3S11,Ag7P3S11,mp-683910,{'Ag': 'Li'},84,1305.530481,1830.845262,1486.197707,1606.410113,1709.655179,1713.189801,1699.700819,1700.257563,23296.697,32770.457,16926.152,19484.889,4238.541,4336.484,4044.295,4039.808,27535.238,37106.941,20970.447,23524.697,-4.403919059,-4.404805215,-4.402200588,-4.403333401
Al2O3,B2O3,mp-306,{'B': 'Al'},15,220.9985692,147.9720538,378.0484142,296.1944846,186.3541361,183.2169825,188.2083246,186.6012681,677.561,372.609,1116.806,920.611,36.396,50.93,37.949,38.287,713.957,423.539,1154.755,958.898,-7.375547516,-7.372206002,-7.376430182,-7.375860337
B2S3,B2O3,mp-306,{'O': 'S'},15,304.4748003,147.9720538,338.7380568,323.553081,291.1587014,277.0448621,294.7427359,286.5605394,149.402,175.867,162.621,171.016,32.635,29.766,32.717,28.751,182.037,205.633,195.338,199.767,-5.435703962,-5.436155458,-5.434232107,-5.436914602
Ba2Mg(BO3)2,Ba2Cu(BO3)2,icsd-67113,{'Cu2+': 'Mg2+'},88,1251.27708,1258.061037,1896.766961,1351.290408,1310.837793,1311.676733,1314.087803,1313.57858,1494.958,1534.502,3406.572,1637.307,357.547,366.261,353.59,347.357,1852.505,1900.763,3760.162,1984.664,-7.14902251,-7.149167528,-7.149266697,-7.149162394
Sr2YAlO5,Ba2ErInSe5,icsd-262893,"{'Se2-': 'O2-', 'In3+': 'Al3+', 'Ba2+': 'Sr2+', 'Er3+': 'Y3+'}",18,260.1483292,525.445057,341.1523195,297.2307868,267.5362245,267.8901602,267.4729099,267.6931226,514.575,1212.032,744.529,665.459,136.487,121.174,120.985,127.188,651.062,1333.206,865.514,792.647,-7.267764452,-7.267828869,-7.267894331,-7.268010508
Ca3Mg3Al4O12,Ba3In4(CuO4)3,icsd-203133,"{'Cu2+': 'Mg2+', 'In3+': 'Al3+', 'Ba2+': 'Ca2+'}",44,425.5085488,626.0971595,824.0898585,477.913119,496.595096,495.3956344,495.5382396,496.0111884,2602.109,3992.037,5542.87,2888.373,803.267,803.268,775.743,768.696,3405.376,4795.305,6318.613,3657.069,-6.496303008,-6.496263384,-6.496240555,-6.496177547
Ca3YAl9O18,Ba3Lu(BO2)9,icsd-160527,"{'Lu3+': 'Y3+', 'B3+': 'Al3+', 'Ba2+': 'Ca2+'}",62,778.6159151,751.9237402,1987.892215,860.6693776,885.6163983,885.581504,931.4056557,905.4433971,3785.845,3774.464,15398.858,18208.768,475.021,363.386,310.435,1634.786,4260.866,4137.85,15709.293,19843.554,-7.071080362,-7.071896445,-7.077989027,-7.07469368
Ba6Y2Si4O17,Ba6Nd2Ti4O17,icsd-96629,"{'Ti4+': 'Si4+', 'Nd3+': 'Y3+'}",58,797.2871487,930.8619993,1224.903744,788.292449,845.7401299,844.6704067,844.6287713,846.0732262,3657.778,4777.164,8222.763,3768.133,1320.539,1318.978,1247.793,1248.742,4978.317,6096.142,9470.556,5016.875,-7.495972546,-7.495593885,-7.495735515,-7.495968876
Ca8Y10B12O41,Ba8Al10B12O41,icsd-183392,"{'Al3+': 'Y3+', 'Ba2+': 'Ca2+'}",71,949.9890892,925.1028094,2459.454775,1052.829585,953.2547952,948.9062283,959.4765678,951.9678622,13609.066,13704.057,43808.898,16158.593,1009.324,1003.232,868.718,935.616,14618.39,14707.289,44677.616,17094.209,-8.078571004,-8.080792213,-8.079429776,-8.088969565
SrMg2(PO4)2,BaAl2(GeO4)2,icsd-1282,"{'Ge4+': 'P5+', 'Al3+': 'Mg2+', 'Ba2+': 'Sr2+'}",52,734.7285472,785.6049738,1416.176925,732.4609554,760.693581,760.0195418,764.625751,763.0068446,1621.305,1789.806,3849.702,1623.987,317.732,320.062,320.008,311.792,1939.037,2109.868,4169.71,1935.779,-6.965732706,-6.965882065,-6.965319284,-6.965832043
CaY2(SiO4)2,BaMg2V2O8,icsd-60581,"{'Mg2+': 'Y3+', 'V5+': 'Si4+', 'Ba2+': 'Ca2+'}",52,559.0984787,652.8285495,1014.111933,575.1470074,724.8345492,726.4494348,727.1076476,728.9367048,8521.434,8259.24,15447.038,6171.218,1838.375,1574.114,1011.762,1618.059,10359.809,9833.354,16458.8,7789.277,-8.09455373,-8.094490383,-8.096212011,-8.095865547
SrYAlO4,BaYFeO4,icsd-237542,"{'Ba2+': 'Sr2+', 'Fe3+': 'Al3+'}",56,652.1539786,767.1139319,930.2370504,662.7003024,713.5777088,711.0807085,713.2917558,713.6305869,406.611,459.288,587.847,433.067,131.062,138.925,128.622,127.224,537.673,598.213,716.469,560.291,-7.682785816,-7.682140068,-7.682587341,-7.682816973
Ca2YAlO5,Ca2MnAlO5,icsd-246124,{'Mn3+': 'Y3+'},18,249.3045429,215.0597187,415.9693697,261.4654422,256.5646644,254.4600665,259.8970302,255.2829224,1277.861,1365.841,1838.547,1657.461,164.049,190.981,169.169,191.92,1441.91,1556.822,2007.716,1849.381,-7.342575273,-7.343366083,-7.332635959,-7.343385381
Sr3Y3Al5O15,Ca3La3(BO3)5,icsd-93394,"{'B3+': 'Al3+', 'Ca2+': 'Sr2+', 'La3+': 'Y3+'}",52,760.6834631,615.5257957,1715.578183,798.5329642,755.8448795,748.466822,761.713509,757.6921108,6137.567,3454.412,15718.021,6611.864,659.043,575.97,623.274,629.144,6796.61,4030.382,16341.295,7241.008,-7.451021056,-7.450967092,-7.450841187,-7.450695035
BaMg3(SiO4)2,Ca3Mg(SiO4)2,icsd-43078,"{'Ca2+': 'Mg2+', 'Mg2+': 'Ba2+'}",56,738.364917,657.0716089,1563.378632,723.2915903,762.518638,765.0409599,760.7607303,760.3979575,3397.959,3334.766,9165.19,3183.976,388.119,743.785,236.089,385.747,3786.078,4078.551,9401.279,3569.723,-6.895564683,-6.892859978,-6.8962607,-6.896319495
Ca4YPO8,Ca4NbGaO8,icsd-251036,"{'Nb5+': 'P5+', 'Ga3+': 'Y3+'}",56,757.2945149,749.6057739,1609.844022,766.2450119,816.6332157,817.1657019,834.1440576,822.2056357,5805.065,3894.993,11386.11,5381.469,1067.501,897.737,423.521,433.651,6872.566,4792.73,11809.631,5815.12,-7.144378578,-7.14133767,-7.128126696,-7.139046692
SrYAlO4,CaAlBO4,icsd-27647,"{'Al3+': 'Y3+', 'Ca2+': 'Sr2+', 'B3+': 'Al3+'}",28,610.8454127,360.9269286,939.8081401,683.159658,521.9152392,521.9009231,522.1667212,522.3941074,1515.583,477.826,2295.007,1529.92,87.785,547.482,88.43,88.571,1603.368,1025.308,2383.437,1618.491,-7.56396467,-7.56385352,-7.564118688,-7.563164595
SrYAlO4,CaLaGaO4,icsd-96463,"{'Ca2+': 'Sr2+', 'La3+': 'Y3+', 'Ga3+': 'Al3+'}",28,424.2096795,433.6302952,659.3886049,433.6302952,421.7883988,421.5629532,421.5618334,420.4819702,254.622,260.334,503.045,260.571,63.304,63.172,71.14,75.128,317.926,323.506,574.185,335.699,-7.686482681,-7.686590247,-7.686496739,-7.686628016
CaYPO5,CaVBiO5,icsd-73184,"{'Bi3+': 'Y3+', 'V5+': 'P5+'}",64,795.0524496,946.2169236,1326.190325,874.3961028,901.2926125,899.2624517,900.1789636,903.7510701,1489.397,1726.719,3513.674,1830.804,259.788,270.447,284.137,255.248,1749.185,1997.166,3797.811,2086.052,-7.799391072,-7.79782611,-7.799383832,-7.80179428
Ca3Y(PO4)3,Cs3NdCr3O12,icsd-39301,"{'Cs+': 'Ca2+', 'Cr6+': 'P5+', 'Nd3+': 'Y3+'}",76,875.5868437,1437.723443,1606.539443,741.6016172,1044.361764,1035.259197,1035.344972,1019.581091,25165.73,43537.941,50014.398,47492.895,3768.957,1382.106,1281.855,12483.031,28934.687,44920.047,51296.253,59975.926,-7.504791298,-7.500735006,-7.499939523,-7.496373265
BaYBO4,CsZnPO4,icsd-85455,"{'Cs+': 'Ba2+', 'P5+': 'B3+', 'Zn2+': 'Y3+'}",56,787.7144071,924.0583523,1722.526325,855.3836815,723.3770186,777.7140033,793.3521282,788.286075,15873.729,11546.262,24203.609,10858.465,588.988,770.389,640.336,686.666,16462.717,12316.651,24843.945,11545.131,-7.946119796,-7.90247332,-7.89695865,-7.897912806
BaY2(B2O5)2,Er2Cu(B2O5)2,icsd-401710,"{'Cu2+': 'Ba2+', 'Er3+': 'Y3+'}",34,420.7492523,304.0765292,895.7434917,449.6313168,355.1247086,355.2493191,357.0131096,355.1553274,1450.109,1245.974,2693.236,1557.517,211.483,220.483,185.647,196.906,1661.592,1466.457,2878.883,1754.423,-8.027753081,-8.027556253,-8.027971708,-8.027826164
SrY2Si3O10,Eu2CoSi3O10,icsd-425549,"{'Co2+': 'Sr2+', 'Eu3+': 'Y3+'}",64,905.8404919,749.1030939,1574.030385,968.7291291,858.2291242,853.5590465,852.6051321,857.3939426,4067.936,2966.39,7346.876,6556.272,364.559,372.325,345.409,646.199,4432.495,3338.715,7692.285,7202.471,-8.158155198,-8.155736245,-8.155301868,-8.158709615
Ba4Li2B4O11,Eu4B4O11F2,icsd-422159,"{'F-': 'Li+', 'Eu3+': 'Ba2+'}",42,494.4886981,438.2284027,972.9390136,892.7682878,648.8828211,636.3149633,656.8693794,659.4562592,6789.86,6934.248,16154.625,19254.979,2529.844,3137.134,772.115,772.51,9319.704,10071.382,16926.74,20027.489,-6.960684563,-6.954543599,-6.969104333,-6.970500763
CaY2(P2O7)2,Fe2Cu(P2O7)2,icsd-83650,"{'Cu2+': 'Ca2+', 'Fe3+': 'Y3+'}",42,713.9029364,531.4983823,1038.550781,819.3215586,696.5009165,686.3041029,696.1763447,695.8054082,1695.512,1401.19,2721.868,2351.319,320.007,438.063,306.677,321.552,2015.519,1839.253,3028.545,2672.871,-7.796165705,-7.793694289,-7.796272327,-7.796199851
FePS4,FePO4,mp-25001,{'O': 'S'},24,506.0602902,290.6500907,607.5429629,489.0541165,421.6204096,415.8944084,418.244352,414.9857421,835.852,824.192,954.964,1127.583,79.628,124.31,64.622,109.039,915.48,948.502,1019.586,1236.622,-5.21382337,-5.214292916,-5.214187749,-5.213743056
MnPO4,FePO4,mp-25001,{'Fe': 'Mn'},24,303.508434,290.6500907,366.3523329,290.6500907,292.1056711,289.4912373,292.6601276,290.133291,274.93,167.615,463.317,166.287,84.007,71.623,81.492,70.383,358.937,239.238,544.809,236.67,-7.422764549,-7.421299781,-7.423098394,-7.421497673
CaY2(BO2)8,Ho2Cu(BO2)8,icsd-408028,"{'Ho3+': 'Y3+', 'Cu2+': 'Ca2+'}",54,601.9837131,529.7798836,944.3281017,659.6347052,565.3390721,565.4413332,566.2203,565.7730536,579.495,609.078,1413.224,669.236,153.647,153.937,144.66,154.356,733.142,763.015,1557.884,823.592,-8.186022064,-8.186587964,-8.186491855,-8.185885251
Ca2Mg2B2O7,K2Al2B2O7,icsd-185040,"{'Al3+': 'Ca2+', 'K+': 'Mg2+'}",39,464.3147477,530.0231753,1521.275506,485.5572636,496.9601954,498.1509223,491.2326892,481.7590187,13629.079,10181.163,60391.145,15018.803,932.597,5886.066,846.116,908.201,14561.676,16067.229,61237.261,15927.004,-6.772623029,-6.773824617,-6.775447863,-6.768113446
Ba2Li2(SiO3)3,K2Be2(SiO3)3,icsd-82398,"{'Be2+': 'Li+', 'K+': 'Ba2+'}",64,983.5925146,829.9896425,1889.087837,998.7471014,960.6928254,959.1888394,961.5380587,960.3366045,2159.064,2226.9,6130.325,2164.172,292.472,299.786,283.434,290.389,2451.536,2526.686,6413.759,2454.561,-7.06898472,-7.068429629,-7.068766518,-7.069005725
BaLi2P2O7,K2CaP2O7,icsd-281572,"{'Ca2+': 'Ba2+', 'K+': 'Li+'}",48,564.314996,702.5772782,1198.169787,537.7916774,686.7539951,692.6180926,688.5260993,666.6164267,2793.311,6318.412,9251.632,4525.512,2189.34,297.53,307.866,690.855,4982.651,6615.942,9559.498,5216.367,-6.792187034,-6.798566437,-6.792358549,-6.81125069
BaMg2(PO4)2,K2V(PO4)2,icsd-200773,"{'V4+': 'Ba2+', 'K+': 'Mg2+'}",26,359.6418023,371.3173112,1872.020236,357.6202191,425.4604798,422.800936,403.5103531,416.6440043,2593.191,1904.618,19777.807,1815.255,138.629,106.715,92.31,115.097,2731.82,2011.333,19870.117,1930.352,-6.47388606,-6.475189336,-6.710300218,-6.47476211
SrLiBO3,KLiCO3,icsd-84638,"{'C4+': 'B3+', 'K+': 'Sr2+'}",24,290.2895248,308.2726171,531.1478437,299.4910821,283.9041219,283.5870403,286.3769182,283.4187502,658.729,750.479,1612.388,783.942,242.688,136.57,135.931,137.558,901.417,887.049,1748.319,921.5,-6.827111898,-6.827610318,-6.827592112,-6.827592486
Li10Ge(PO6)2,Li10Ge(PS6)2,mp-696138,{'S': 'O'},50,627.3769559,988.9962101,727.1621124,684.1803127,536.3562272,537.1714333,535.1951135,535.0708769,2339.832,5944.114,2806.666,3353.179,431.115,537.222,431.566,429.393,2770.947,6481.336,3238.232,3782.572,-5.913841041,-5.915826907,-5.913506959,-5.915402414
Na10Sn(PS6)2,Li10Ge(PS6)2,mp-696138,"{'Ge': 'Sn', 'Li': 'Na'}",50,1318.630552,988.9962101,1635.062214,1390.999783,1346.901279,1341.382622,1348.222054,1347.386361,1029.507,943.533,1829.033,1294.614,331.783,320.097,335.623,322.238,1361.29,1263.63,2164.656,1616.852,-3.989621013,-3.991344892,-3.990446012,-3.990752319
Li4P2S7,Li4P2O7,mp-554577,['O2-:S2-'],52,992.9698578,593.2922722,1123.695401,932.0134022,1197.227397,1235.543572,1197.965033,1196.742885,1141.224,5118.858,1393.557,1374.96,286.686,1127.883,285.66,276.764,1427.91,6246.741,1679.217,1651.724,-4.399012643,-4.180306534,-4.40040834,-4.399314913
LiFePS4,LiFePO4,mp-19017,{'O': 'S'},28,473.0018746,302.3045714,574.1104337,438.7658371,520.0447641,454.4083228,454.5546501,520.690009,355.591,794.362,896.26,404.424,93.415,263.292,146.885,87.504,449.006,1057.654,1043.145,491.928,-5.06222018,-5.034435073,-5.033979621,-5.062330902
NaMnPO4,LiFePO4,mp-19017,"{'Fe': 'Mn', 'Li': 'Na'}",28,371.8192503,302.3045714,446.211393,373.3341459,344.2842334,345.3574967,345.7521631,345.4186405,483.703,430.732,606.498,485.096,89.747,90.481,91.99,123.456,573.45,521.213,698.488,608.552,-7.040230226,-7.042051476,-7.041019304,-7.040563535
LiNbS3,LiNbO3,mp-3731,{'O': 'S'},30,234.9680368,142.4812062,1830.089766,218.5173687,515.4279659,535.2281103,602.9485555,516.8189255,4114.812,4249.568,44121.816,3780.703,1635.396,425.404,531.218,1644.02,5750.208,4674.972,44653.034,5424.723,-5.750744167,-5.638258607,-5.770424351,-5.750980551
Ba3Y2SiO8,LiTl3(MoO4)2,icsd-84291,"{'Li+': 'Si4+', 'Tl+': 'Ba2+', 'Mo6+': 'Y3+'}",28,453.8923983,493.8085764,1282.023083,592.4122328,561.5647726,561.7303369,563.3839238,562.2206897,1699.839,1612.189,8294.902,1885.968,371.27,332.428,425.864,334.078,2071.109,1944.617,8720.766,2220.046,-7.417408258,-7.417722216,-7.417711954,-7.417799783
Ca2YPO6,Na2GeTeO6,icsd-88789,"{'Ge4+': 'P5+', 'Na+': 'Ca2+', 'Te6+': 'Y3+'}",20,262.941043,239.1061503,441.9385344,257.4657007,261.1116619,260.9736446,260.8830683,260.9032431,918.996,844.642,1911.091,842.123,285.537,264,267.601,239.876,1204.533,1108.642,2178.692,1081.999,-7.374910115,-7.374958118,-7.374979056,-7.375052344
BaLi2(SiO3)2,Na2Zn(SiO3)2,icsd-83427,"{'Na+': 'Li+', 'Zn2+': 'Ba2+'}",22,331.726372,283.9761072,907.9151874,337.182103,355.9941631,351.0599446,364.2599348,357.5266851,780.335,626.774,1435.019,717.7,89.904,134.366,69.229,86.426,870.239,761.14,1504.248,804.126,-6.793233784,-6.792709422,-6.788034644,-6.792802689
K3PO4,Na3PO4,mp-4223,{'Na': 'K'},64,1168.981389,823.5934766,1967.946802,1178.397808,1121.578419,1120.197525,1129.138157,1124.475018,575.579,461.621,1606.416,614.854,206.302,341.894,274.819,222.143,781.881,803.515,1881.235,836.997,-5.7525906,-5.752581327,-5.752392103,-5.752723295
Na3PS4,Na3PO4,mp-4223,{'O': 'S'},64,1307.515684,823.5934766,1432.550627,1218.899774,1491.460256,1492.122051,1504.375094,1499.190837,959.011,977.492,1156.678,984.718,247.945,237.002,238.431,324.519,1206.956,1214.494,1395.109,1309.237,-4.105036986,-4.10487648,-4.103397573,-4.104311329
Na5P3Se10,Na5P3O10,mp-3928,{'O2-': 'Se2-'},36,907.7889801,488.5958344,1170.558012,852.4410148,1047.562367,1033.366536,1049.852432,1044.736554,3243.425,2445.433,4334.313,4627.292,735.801,699.365,702.678,680.802,3979.226,3144.798,5036.991,5308.094,-3.760112054,-3.762031935,-3.760644251,-3.762290734
KMnPO4,NaFePO4,mp-19226,"{'Fe': 'Mn', 'Na': 'K'}",28,417.7365531,323.3446919,542.7165328,404.6490222,368.8592708,367.0448938,367.40686,368.6137634,294.505,242.941,443.406,350.56,68.791,93.476,86.61,66.685,363.296,336.417,530.016,417.245,-6.957896498,-6.958153253,-6.957907611,-6.958556961
NaFePS4,NaFePO4,mp-19226,{'O': 'S'},28,494.1236855,323.3446919,600.2371481,458.2235744,568.073589,499.4662464,558.5677472,506.6557931,734.654,788.619,610.948,1254.763,137.84,903.3,423.191,233.482,872.494,1691.919,1034.139,1488.245,-4.893629803,-4.828715158,-4.896140429,-4.832326856
BaMgSiO4,NaGaSiO4,icsd-411328,"{'Ga3+': 'Ba2+', 'Na+': 'Mg2+'}",42,713.8644333,541.6228534,1744.550394,734.2437742,689.5394451,679.6559286,678.0699184,659.4872927,7010.418,5681.468,19315.977,6159.645,550.993,1364.031,480.012,508.715,7561.411,7045.499,19795.989,6668.36,-6.885635555,-6.88249139,-6.882925526,-6.874092894
BaMgAl4O8,NaLa(GaS2)4,icsd-634495,"{'La3+': 'Ba2+', 'Ga3+': 'Al3+', 'S2-': 'O2-', 'Na+': 'Mg2+'}",56,787.6090955,1254.313133,995.2344561,839.308672,742.0298748,737.5993455,741.1825772,741.6441855,4814.763,8746.613,6682.196,5076.647,1039.716,987.509,1044.547,979.351,5854.479,9734.122,7726.743,6055.998,-6.926993334,-6.927157158,-6.927425498,-6.926962591
CaY2(SiO4)2,Nd2Cu(GeO4)2,icsd-81073,"{'Ge4+': 'Si4+', 'Cu2+': 'Ca2+', 'Nd3+': 'Y3+'}",26,329.291961,329.0059194,685.3515053,360.2185179,315.7051305,314.750365,315.036908,314.9296544,2889.857,3712.996,9367.793,3925.659,537.872,624.502,612.235,587.933,3427.729,4337.498,9980.028,4513.592,-8.14645469,-8.14651739,-8.14611453,-8.14662816
Ca2MgB4O9,Rb2GeB4O9,icsd-261333,"{'Ge4+': 'Mg2+', 'Rb+': 'Ca2+'}",64,683.3527848,869.3221438,1576.989779,710.4414148,708.7640464,712.6200074,714.3675759,709.815556,8546.198,6673.157,14733.763,9160.485,447.316,486.124,545.112,439.512,8993.514,7159.281,15278.875,9599.997,-7.418654801,-7.394696178,-7.399688115,-7.421183711
Ba3Mg3(PO4)4,Rb3Pr3(PS4)4,icsd-414012,"{'Pr3+': 'Mg2+', 'Rb+': 'Ba2+', 'S2-': 'O2-'}",52,736.1218812,1389.668891,822.2615265,774.0974561,757.7114437,754.6633351,752.4224867,761.2083088,7344.462,16750.223,9492.663,6690.393,813.994,972.502,981.675,1615.241,8158.456,17722.725,10474.338,8305.634,-6.981912304,-6.975918421,-6.976264915,-6.982016414
BaLi(BO2)3,RbCd(BO2)3,icsd-191227,"{'Cd2+': 'Li+', 'Rb+': 'Ba2+'}",44,488.7253028,595.8597407,939.9055893,513.6857265,566.1631494,580.6223377,561.8966958,568.5137909,2365.24,3879.453,4972.279,3219.948,429.348,458.372,398.291,429.504,2794.588,4337.825,5370.57,3649.452,-7.393078909,-7.401716217,-7.393625835,-7.399652436
SrMgP2O7,RbFeSe2O7,icsd-90415,"{'Se6+': 'P5+', 'Rb+': 'Sr2+', 'Fe3+': 'Mg2+'}",22,284.5870816,339.0702614,440.3252456,273.4659647,311.409751,309.4790871,310.2671583,308.7684229,1255.368,1639.253,2420.753,1734.765,195.726,427.949,175.554,234.799,1451.094,2067.202,2596.307,1969.564,-6.778602841,-6.779902029,-6.778905609,-6.77882156
BaMgAl2O5,RbNaSi2O5,icsd-92534,"{'Rb+': 'Ba2+', 'Na+': 'Mg2+', 'Si4+': 'Al3+'}",36,431.7973951,508.4855557,917.2080004,439.5568071,505.6506261,509.0512401,508.2818785,506.8674138,1696.385,2309.013,4046.461,1893.073,253.738,228.672,227.814,252.012,1950.123,2537.685,4274.275,2145.085,-6.892264699,-6.895073221,-6.894809635,-6.894667781
Ge3N4,Si3N4,mp-988,{'Si': 'Ge'},14,179.6783321,148.6488343,170.5185045,188.6237732,178.5372295,178.4348693,178.2043301,178.6256512,134.339,160.163,170.312,134.818,144.224,119.774,113.023,106.333,278.563,279.937,283.335,241.151,-6.783652812,-6.783891888,-6.783801281,-6.783511991
Si3N4,Sn3N4,mp-16031,{'Sn': 'Si'},14,127.0922523,191.0414081,89.99405308,112.5724519,117.9345093,117.989896,118.0277774,117.8796782,104.714,157.806,152.755,68.827,55.771,60.696,62.694,60.833,160.485,218.502,215.449,129.66,-8.03487737,-8.034908351,-8.034837271,-8.034858044
BaMgB2O5,SrCdB2O5,icsd-186699,"{'Cd2+': 'Mg2+', 'Sr2+': 'Ba2+'}",72,851.405372,882.2932122,1247.055567,930.0010762,879.3458941,876.5565992,879.3867448,880.9120234,700.615,637.456,1307.325,677.594,173.923,164.669,161.213,173.618,874.538,802.125,1468.538,851.212,-7.285695499,-7.285409281,-7.286386152,-7.28531386
SrMgP2O7,V2ZnPbO7,icsd-39418,"{'Pb2+': 'Sr2+', 'V5+': 'P5+', 'Zn2+': 'Mg2+'}",88,1008.306863,1147.840525,2301.652529,1096.405731,1066.921813,1067.695769,1069.459979,1064.512666,5075.24,8924.04,17213.334,5687.88,554.81,891.738,518.497,681.527,5630.05,9815.778,17731.831,6369.407,-7.075858455,-7.075299481,-7.074752852,-7.074549071
Sr2Mg(PO4)2,Zn2Cu(AsO4)2,icsd-26839,"{'As5+': 'P5+', 'Cu2+': 'Mg2+', 'Zn2+': 'Sr2+'}",13,200.0407965,156.8673169,340.3247455,230.4785185,190.8071715,188.2016812,0,193.9474801,1018.882,751.871,0,1612.954,129.988,144.324,0,112.894,1148.87,896.195,0,1725.848,-7.008275018,-7.003211896,0,-7.020457455
CaMg3Al8O16,ZnFe8Ni3O16,icsd-182239,"{'Zn2+': 'Ca2+', 'Ni2+': 'Mg2+', 'Fe3+': 'Al3+'}",56,606.8744435,585.1842069,1210.929829,673.8410528,558.6016649,558.6366242,559.6551076,558.6106744,3122.427,3089.019,10962.604,4735.304,1046.35,1036.738,1133.542,1067.885,4168.777,4125.757,12096.146,5803.189,-7.078358603,-7.078366614,-7.078457205,-7.078357618